project_name,commit_id,github_address,is_bug_fix
albfernandez__GDS-PMD-Security-Rules,74f738f028b14d57eb48474a6f26b075aa7250b0,https://github.com/albfernandez/GDS-PMD-Security-Rules/commit/74f738f028b14d57eb48474a6f26b075aa7250b0,bug-fix
HubSpot__Baragon,4f239e0bbb9f4c8a26a1a5acaf99007c1f2cc525,https://github.com/HubSpot/Baragon/commit/4f239e0bbb9f4c8a26a1a5acaf99007c1f2cc525,not-bug-fix
apereo__java-cas-client,29165243a522c09c5466ca0ca86b63b46d27b60c,https://github.com/apereo/java-cas-client/commit/29165243a522c09c5466ca0ca86b63b46d27b60c,bug-fix
jgrapht__jgrapht,6b14c6c6658c270eaf63049336b781c478104463,https://github.com/jgrapht/jgrapht/commit/6b14c6c6658c270eaf63049336b781c478104463,not-bug-fix
jgrapht__jgrapht,c82eaa921828dd7925f5a02b09b36c91dcd6d525,https://github.com/jgrapht/jgrapht/commit/c82eaa921828dd7925f5a02b09b36c91dcd6d525,not-bug-fix
ctripcorp__apollo,40365e15677450e083ba0b9a4ad2364448a08c99,https://github.com/ctripcorp/apollo/commit/40365e15677450e083ba0b9a4ad2364448a08c99,not-bug-fix
openmrs__openmrs-module-webservices.rest,a13cf2d7d145b5421f10eb64628864c53d1c56a1,https://github.com/openmrs/openmrs-module-webservices.rest/commit/a13cf2d7d145b5421f10eb64628864c53d1c56a1,bug-fix
openmrs__openmrs-module-htmlformentry,65ce4c9d24fd3107c601442fc7f8b7270b12d9a0,https://github.com/openmrs/openmrs-module-htmlformentry/commit/65ce4c9d24fd3107c601442fc7f8b7270b12d9a0,bug-fix
vkostyukov__la4j,aaa71a102de9d5e941b4a82be95affa0cc1ee76c,https://github.com/vkostyukov/la4j/commit/aaa71a102de9d5e941b4a82be95affa0cc1ee76c,bug-fix
vert-x3__vertx-web,97973f777a7437595ee23cd75aa99cb57e81ac71,https://github.com/vert-x3/vertx-web/commit/97973f777a7437595ee23cd75aa99cb57e81ac71,bug-fix
vkostyukov__la4j,e05e78b66fd94c3301e04b6dae95f513ed391615,https://github.com/vkostyukov/la4j/commit/e05e78b66fd94c3301e04b6dae95f513ed391615,bug-fix
org-tigris-jsapar__jsapar,38593d525426a09d6a8be863368db5f15760655a,https://github.com/org-tigris-jsapar/jsapar/commit/38593d525426a09d6a8be863368db5f15760655a,bug-fix
aicis__fresco,d8a297e43b8138aec4d10fb13f00c41a599e55b4,https://github.com/aicis/fresco/commit/d8a297e43b8138aec4d10fb13f00c41a599e55b4,bug-fix
apache__incubator-tamaya,f8f7aad5fafa1d7f442012aded5eb53c5c8403e9,https://github.com/apache/incubator-tamaya/commit/f8f7aad5fafa1d7f442012aded5eb53c5c8403e9,bug-fix
classgraph__classgraph,34f33d12975bf553cc6dbe19813f181106f72840,https://github.com/classgraph/classgraph/commit/34f33d12975bf553cc6dbe19813f181106f72840,not-bug-fix
swagger-api__swagger-codegen,6c4765fd00322dbd25b764b20152cc965a473c98,https://github.com/swagger-api/swagger-codegen/commit/6c4765fd00322dbd25b764b20152cc965a473c98,bug-fix
openmrs__openmrs-module-webservices.rest,b081c5b08da0f0799e688ea44a7e500b25eb7668,https://github.com/openmrs/openmrs-module-webservices.rest/commit/b081c5b08da0f0799e688ea44a7e500b25eb7668,bug-fix
classgraph__classgraph,d19bd98a774c8f17a104a7c2a7dd6dc752c34bf8,https://github.com/classgraph/classgraph/commit/d19bd98a774c8f17a104a7c2a7dd6dc752c34bf8,not-bug-fix
openmrs__openmrs-module-webservices.rest,baebda151aeffee2f9a81307709e1a3ae227d4a6,https://github.com/openmrs/openmrs-module-webservices.rest/commit/baebda151aeffee2f9a81307709e1a3ae227d4a6,bug-fix
rkonovalov__jsonignore,aafc7b71f38fd40b8c8a505ad6c6984ff4404c4e,https://github.com/rkonovalov/jsonignore/commit/aafc7b71f38fd40b8c8a505ad6c6984ff4404c4e,bug-fix
HubSpot__Baragon,145f5f7a4a5636f5d737657c84bb1a6b9518a01a,https://github.com/HubSpot/Baragon/commit/145f5f7a4a5636f5d737657c84bb1a6b9518a01a,bug-fix
INRIA__spoon,d12f18a0a98e61845ba900629862022ffa3a3c81,https://github.com/INRIA/spoon/commit/d12f18a0a98e61845ba900629862022ffa3a3c81,not-bug-fix
rkonovalov__jsonignore,4188f90ffee38ee4402100ddc2f5c498ca474efc,https://github.com/rkonovalov/jsonignore/commit/4188f90ffee38ee4402100ddc2f5c498ca474efc,not-bug-fix
rkonovalov__jsonignore,adc6ed844187d90ce2fedb86444445113e6a7308,https://github.com/rkonovalov/jsonignore/commit/adc6ed844187d90ce2fedb86444445113e6a7308,not-bug-fix
spring-projects__spring-data-commons,ecf3592d1fb3458de3e2c67882541f40dd3e1106,https://github.com/spring-projects/spring-data-commons/commit/ecf3592d1fb3458de3e2c67882541f40dd3e1106,bug-fix
traccar__traccar,a59ca5006a4d3547fbbb2931ad8a163f332ad65b,https://github.com/traccar/traccar/commit/a59ca5006a4d3547fbbb2931ad8a163f332ad65b,not-bug-fix
lettuce-io__lettuce-core,ec700248a78d192773a53b940691e19546db97f8,https://github.com/lettuce-io/lettuce-core/commit/ec700248a78d192773a53b940691e19546db97f8,not-bug-fix
jgrapht__jgrapht,275c6fdbd5d026b41d445949d6daf27f9454e119,https://github.com/jgrapht/jgrapht/commit/275c6fdbd5d026b41d445949d6daf27f9454e119,bug-fix
