repo,total commits,affected commits,filter-affected commits,affected commits percentage,filter-affected commits percentage
500px-android-blur,24,6,0,25.0,0.0
9GAG,99,42,0,42.42424242424242,0.0
acra,100,34,2,34.0,2.0
ActionBarSherlock,100,17,1,17.0,1.0
actor-platform,100,44,1,44.0,1.0
aerosolve,100,8,0,8.0,0.0
aFileChooser,38,10,0,26.31578947368421,0.0
airpal,100,23,1,23.0,1.0
AisenWeiBo,100,68,0,68.0,0.0
ambrose,100,15,1,15.0,1.0
Android,58,5,0,8.620689655172415,0.0
android-about-page,100,10,0,10.0,0.0
android-adDialog,20,10,0,50.0,0.0
android-app,100,24,1,24.0,1.0
android-async-http,100,42,1,42.0,1.0
android-auto-scroll-view-pager,65,12,0,18.46153846153846,0.0
android-autofittextview,61,14,2,22.950819672131146,3.278688524590164
android-beacon-library,100,34,3,34.0,3.0
android-betterpickers,100,30,2,30.0,2.0
Android-Boilerplate,58,20,0,34.48275862068966,0.0
Android-Bootstrap,100,35,5,35.0,5.0
android-butterknife-zelezny,84,42,2,50.0,2.380952380952381
android-circlebutton,8,1,1,12.5,12.5
android-classyshark,100,44,3,44.0,3.0
Android-CleanArchitecture,100,34,0,34.0,0.0
android-common,79,31,0,39.24050632911393,0.0
Android-ConvenientBanner,87,37,1,42.52873563218391,1.1494252873563218
android-crop,100,22,1,22.0,1.0
android-database-sqlcipher,100,18,1,18.0,1.0
android-demos,100,9,1,9.0,1.0
Android-Download-Manager-Pro,20,3,0,15.0,0.0
android-edittext-validator,100,20,2,20.0,2.0
android-flat-button,89,20,3,22.471910112359552,3.3707865168539324
android-flip,100,56,1,56.0,1.0
android-gpuimage,100,19,1,19.0,1.0
android-GridViewWithHeaderAndFooter,41,13,0,31.70731707317073,0.0
android-historian,100,13,1,13.0,1.0
android-iconify,100,20,1,20.0,1.0
Android-Image-Cropper,100,31,1,31.0,1.0
android-job,100,43,1,43.0,1.0
android-maps-utils,100,52,3,52.0,3.0
android-mapviewballoons,70,29,1,41.42857142857143,1.4285714285714286
android-material-design-icon-generator-plugin,100,21,0,21.0,0.0
Android-MaterialRefreshLayout,90,12,0,13.333333333333334,0.0
Android-MonthCalendarWidget,7,2,0,28.571428571428573,0.0
Android-ParallaxHeaderViewPager,43,6,0,13.953488372093023,0.0
android-pdfview,82,17,0,20.73170731707317,0.0
android-percent-support-extend,16,5,0,31.25,0.0
android-percent-support-lib-sample,36,2,0,5.555555555555555,0.0
Android-PickerView,100,44,1,44.0,1.0
android-pluginmgr,76,26,0,34.21052631578947,0.0
android-process-button,81,22,0,27.160493827160494,0.0
Android-Ptr-Comparison,65,11,2,16.923076923076923,3.076923076923077
android-ripple-background,11,2,0,18.181818181818183,0.0
Android-RoundCornerProgressBar,100,17,2,17.0,2.0
android-saripaar,100,40,2,40.0,2.0
android-satellite-menu,20,1,0,5.0,0.0
android-segmented-control,100,24,1,24.0,1.0
android-selector-chapek,13,1,0,7.6923076923076925,0.0
android-shape-imageview,55,11,0,20.0,0.0
android-shapeLoadingView,24,7,0,29.166666666666668,0.0
android-simple-facebook,100,32,0,32.0,0.0
Android-SlideExpandableListView,95,29,0,30.526315789473685,0.0
android-smart-image-view,24,12,0,50.0,0.0
Android-SpinKit,78,34,2,43.58974358974359,2.5641025641025643
android-sqlite-asset-helper,70,16,0,22.857142857142858,0.0
Android-StepsView,33,2,0,6.0606060606060606,0.0
android-styled-dialogs,100,36,1,36.0,1.0
Android-SwipeToDismiss,19,12,0,63.1578947368421,0.0
Android-Terminal-Emulator,100,28,2,28.0,2.0
android-testing,100,10,0,10.0,0.0
Android-TextView-LinkBuilder,100,25,1,25.0,1.0
android-times-square,100,28,0,28.0,0.0
Android-Tips,100,2,0,2.0,0.0
android-ui,13,2,0,15.384615384615385,0.0
android-Ultra-Pull-To-Refresh,100,44,1,44.0,1.0
Android-Universal-Image-Loader,100,18,0,18.0,0.0
android-UniversalMusicPlayer,100,5,1,5.0,1.0
android-vertical-slide-view,18,10,0,55.55555555555556,0.0
android-viewbadger,21,8,0,38.095238095238095,0.0
android-viewflow,100,52,5,52.0,5.0
android-vision,76,31,1,40.78947368421053,1.3157894736842106
android-volley,100,30,2,30.0,2.0
android-weak-handler,12,1,0,8.333333333333334,0.0
Android-WizardPager,14,3,0,21.428571428571427,0.0
AndroidAutoLayout,51,29,0,56.86274509803921,0.0
AndroidChangeSkin,15,6,0,40.0,0.0
AndroidDynamicLoader,30,8,0,26.666666666666668,0.0
AndroidEventBus,100,29,0,29.0,0.0
AndroidFillableLoaders,47,9,0,19.148936170212767,0.0
AndroidImageSlider,100,29,1,29.0,1.0
androidmvp,39,13,1,33.333333333333336,2.5641025641025643
AndroidPerformanceMonitor,100,38,1,38.0,1.0
AndroidPhotoFilters,41,7,0,17.073170731707318,0.0
AndroidProcess,71,14,1,19.718309859154928,1.408450704225352
androidquery,100,65,1,65.0,1.0
AndroidResideMenu,73,36,1,49.31506849315068,1.36986301369863
AndroidSweetSheet,30,8,0,26.666666666666668,0.0
AndroidSwipeLayout,100,45,3,45.0,3.0
AndroidTraining,100,27,1,27.0,1.0
AndroidTreeView,57,18,2,31.57894736842105,3.508771929824561
AndroidViewAnimations,100,24,2,24.0,2.0
AndroidViewHover,34,9,0,26.470588235294116,0.0
AndroidWiFiADB,100,42,2,42.0,2.0
android_design_patterns_analysis,100,1,0,1.0,0.0
animate,18,1,0,5.555555555555555,0.0
AnimationEasingFunctions,41,4,0,9.75609756097561,0.0
ansj_seg,100,54,0,54.0,0.0
antlr4,100,1,0,1.0,0.0
api-samples,100,5,2,5.0,2.0
Apktool,100,32,3,32.0,3.0
AppIntro,100,5,1,5.0,1.0
ArcAnimator,18,4,0,22.22222222222222,0.0
archi,41,13,0,31.70731707317073,0.0
ArcMenu,18,4,0,22.22222222222222,0.0
ASimpleCache,21,7,0,33.333333333333336,0.0
asmack,100,16,2,16.0,2.0
assertj-android,100,30,13,30.0,13.0
astyanax,100,28,1,28.0,1.0
async-http-client,100,32,2,32.0,2.0
Avengers,100,46,1,46.0,1.0
AVLoadingIndicatorView,97,20,0,20.61855670103093,0.0
BarcodeScanner,100,7,0,7.0,0.0
base-adapter-helper,100,30,4,30.0,4.0
baseAdapter,12,5,0,41.666666666666664,0.0
BeautifulRefreshLayout,79,6,0,7.594936708860759,0.0
BGABadgeView-Android,75,28,0,37.333333333333336,0.0
BGAQRCode-Android,100,58,2,58.0,2.0
BGARefreshLayout-Android,100,48,1,48.0,1.0
bigbluebutton,100,2,0,2.0,0.0
